threshold,sample_count,selected_count,rejected_count,wrong_pseudo_count,coverage,selected_pseudo_precision,rejected_error_recall,rejected_error_precision
0.71,10182,5632,4550,1869,0.5531329797682184,0.8849431818181818,0.6532905296950241,0.2683516483516484
0.72,10182,5574,4608,1869,0.5474366529169122,0.8857194115536419,0.6591760299625468,0.2673611111111111
0.73,10182,5528,4654,1869,0.5429188764486348,0.8865774240231549,0.6645264847512039,0.26686721100128924
0.74,10182,5487,4695,1869,0.5388921626399529,0.8870056497175142,0.6682718031032637,0.2660276890308839
0.75,10182,5457,4725,1869,0.5359457866823807,0.8882169690306029,0.6736222578919208,0.26645502645502644
0.76,10182,5421,4761,1869,0.5324101355332941,0.8885814425382771,0.6768325307651151,0.26570048309178745
0.77,10182,5400,4782,1869,0.5303476723629935,0.8887037037037037,0.6784376672017122,0.26516102049351736
0.78,10182,5380,4802,1869,0.5283834217246121,0.8890334572490707,0.680577849117175,0.2648896293211162
0.79,10182,5361,4821,1869,0.5265173836181497,0.889572840887894,0.6832530765115035,0.2648828043974279
0.8,10182,5340,4842,1869,0.5244549204478491,0.8897003745318353,0.6848582129481006,0.26435357290375877
0.81,10182,5304,4878,1869,0.5209192692987625,0.8900829562594268,0.6880684858212948,0.26363263632636325
0.8200000000000001,10182,5255,4927,1869,0.516106855234728,0.8917221693625119,0.6955591225254146,0.2638522427440633
0.8300000000000001,10182,5193,4989,1869,0.5100176782557454,0.8927402272289621,0.7019796682718031,0.26297855281619564
0.84,10182,5113,5069,1869,0.5021606757022196,0.8969293956581263,0.7180310326377742,0.2647464983231407
0.85,10182,5041,5141,1869,0.49508937340404635,0.9016068240428486,0.7346174424826111,0.26706866368410814
0.86,10182,4961,5221,1869,0.4872323708505205,0.9040516024994961,0.7453183520599251,0.2668071250718253
0.87,10182,4870,5312,1869,0.4782950304458849,0.9049281314168378,0.7522739432851793,0.26468373493975905
0.88,10182,4777,5405,1869,0.4691612649774111,0.906426627590538,0.7608346709470305,0.26308973172987976
0.89,10182,4653,5529,1869,0.4569829110194461,0.9086610788738448,0.7726056714820759,0.2611683848797251
0.9,10182,4489,5693,1869,0.4408760557847181,0.9135664958788149,0.792402354200107,0.26014403653609697
0.91,10182,4273,5909,1869,0.41966214889019837,0.9194945003510414,0.8159443552701979,0.2580808935522085
0.92,10182,3953,6229,1869,0.3882341386760951,0.9205666582342524,0.831995719636169,0.24963878632204206
0.93,10182,3110,7072,1869,0.3054409742683166,0.9237942122186495,0.8731942215088283,0.23076923076923078
0.9400000000000001,10182,2422,7760,1869,0.2378707523079945,0.9545829892650702,0.9411449973247726,0.22667525773195876
0.95,10182,2261,7921,1869,0.22205853466902375,0.9562140645731977,0.9470304975922953,0.22345663426335058
0.9500000000000001,10182,2261,7921,1869,0.22205853466902375,0.9562140645731977,0.9470304975922953,0.22345663426335058
0.96,10182,2258,7924,1869,0.22176389707326655,0.9574844995571302,0.9486356340288925,0.22375063099444725
0.97,10182,2257,7925,1869,0.22166568454134747,0.9574656623836951,0.9486356340288925,0.2237223974763407
0.98,10182,2254,7928,1869,0.22137104694559026,0.9582963620230701,0.9497057249866239,0.22389001009081735
0.99,10182,2237,7945,1869,0.219701433902966,0.9588734912829683,0.9507758159443552,0.2236626809314034
1.0,10182,0,10182,1869,0.0,nan,1.0,0.1835592221567472
